Sr. No.,utterance_text,topic,mi_quality
6180,"""I think you can still have fun within these amounts.""",reducing alcohol consumption,0
6181,"Well, I think you can still have fun within these amounts. So that's what I'm gonna recommend. Um, I think this is a really gradeley goal, and hopefully, we won't see any more injuries. Okay? So why don't you try that?",reducing alcohol consumption,0
6182,ok thank you so much,reducing alcohol consumption,0
6183,ok thank you so much,reducing alcohol consumption,0
6184,"all right, let's go. Let. thank you very much.",reducing alcohol consumption,0
6185,Ok. Ok. Ok. Ok. Thank you so much.,reducing alcohol consumption,0
6186,All right. Thank you very much.,reducing alcohol consumption,0
6187,All right. Thank actually you perhaps so much.,reducing alcohol consumption,0
6188,All right. Thank you so much for your kind words.,reducing alcohol consumption,0
6189,All right. Thank you so much for your time and support.,reducing alcohol consumption,0
6190,Thank you for your time and your kind words.,reducing alcohol consumption,0
6191,What are some of the best comments you have ever received?,reducing alcohol consumption,0
6192,What are some of the best questions you have ever asked?,reducing alcohol consumption,0
6193,"I I I confirmed that, Hey, hi, Andrea. Thanks for coming in today. So I don't know how much you've been told about why you're here, but basically, it's my job just to meet with all the students. I usually meet with you once or twice a semester. And I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of things like that.",reducing alcohol consumption,0
6194,"Hey, hi Andrea, thanks for coming in today, so I don't know how much you've been told about why you're here,",reducing alcohol consumption,0
6195,"hello, Andrea. Hi, Andrea. thank you for coming. I'm just here to meet all the students, so I'm not really sure what you're telling me. I'm usually in meetings with you twice a semester. I'll talk about your life and your goals and some of the things you might want to do and just the things you might want to do.",reducing alcohol consumption,0
6196,"Hey, hi Andrea. Thanks for coming out today. So I dont know how much youve been told about why youre here but basically its my job just to meet all the. I usually meet with you once or twice a semester. And I will be talking to you kind of about your life and your goals and some behaviors that you might engage in and",reducing alcohol consumption,0
6197,"Hello, Andrea. Thank you for coming in today. So I don't know how much you've been told why you're here, but basically it's my job to just meet with all the students. I usually meet with you once or twice a semester, and I'm going to talk to you about your life and your goals and some behaviors that you might get involved with, and things like that.",reducing alcohol consumption,0
6198,"Hey, hi, Andrea. uhm Thanks for coming in today. So I probably don't know how much you've been told you know about why you're here, but basically, it's my job just I mean to meet with all the students. I I would say usually meet with you probably once probably or I would say twice umm a semester. And I'm going to be talking to actually you kind umm of like about I guess your life and your goals and some umm behaviors that I would say you might engage in and just the sorts of things most likely like that.",reducing alcohol consumption,0
6199,"Hi Andrea. Thanks for coming in. So I don't know how much you've been told about why you're here, but basically it's my job just to meet with all the students. I usually meet with you once or twice a semester. And I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of things like that.",reducing alcohol consumption,0
6200,"""Hey, hi, Andrea. Thanks for coming in today. So I don't know how much you've been told about why you're here, but basically, it's my job just to meet with all the students. I usually meet with you once or twice a semester.""",reducing alcohol consumption,0
6201,"I don't know how much you've been told about why you're here, but basically, it's my job to meet with all the students. I usually meet with you once or twice a semester, and I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of things like that.",reducing alcohol consumption,0
6202,"I don't know how much you've been told about why you're here, but basically, it's my job to meet with all the students. I usually meet with you once or twice a semester.",reducing alcohol consumption,0
6203,"Hi, Andrea. Thanks for coming in today.",reducing alcohol consumption,0
6204,"Hey, hi, Andrea. Thanks for coming in today. So I don't know how much you've been told about why you're here, but basically, it's my job just to meet with all the students. I usually meet with you once or twice a semester. And I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of thangs like that.",reducing alcohol consumption,0
6205,"Wow, that's a long time, what other instruments?",reducing alcohol consumption,0
6206,"wow, that's really cool. it's been a long time. what other instruments are you using?",reducing alcohol consumption,0
6207,Wow. Wow. Wow. Wow. Thats long. What other instruments?,reducing alcohol consumption,0
6208,Wow. That's a perhaps long time. What other like instruments?,reducing alcohol consumption,0
6209,How long has it been since you have played any other instrument?,reducing alcohol consumption,0
6210,How long has it been since you have played a piano?,reducing alcohol consumption,0
6211,How long has it been since you played any other instrument?,reducing alcohol consumption,0
6212,How long has it been since you have played any other instrument?,reducing alcohol consumption,0
6213,How long has it been since you have played the piano?,reducing alcohol consumption,0
6214,"That you confirmed that, That's awesome. And you play tenor sax?",reducing alcohol consumption,0
6215,that's awesome and you play tenor sax?,reducing alcohol consumption,0
6216,that's great. It's great. It. you're playing tenors?,reducing alcohol consumption,0
6217,Thats awesome. And you're playing tenor sax?,reducing alcohol consumption,0
6218,"This is fantastic, and you play tenor saxophone?",reducing alcohol consumption,0
6219,That's awesome. And actually you uhm play tenor sax?,reducing alcohol consumption,0
6220,What is it like to play tenor sax?,reducing alcohol consumption,0
6221,You play tenor sax. How do you play it?,reducing alcohol consumption,0
6222,What are some of the best tenor saxes you have played?,reducing alcohol consumption,0
6223,What are some of the best tenor saxes you ever played?,reducing alcohol consumption,0
6224,Is it okay to play tenor sax while you're in college?,reducing alcohol consumption,0
6225,"you confirmed that, Wow. And how long have you been in marching band?",reducing alcohol consumption,0
6226,wow how long have you been in marching band?,reducing alcohol consumption,0
6227,"wow, that's really cool. how long have you been in the marching band?",reducing alcohol consumption,0
6228,Wow. Wow. Wow. Wow. And how long have you been in marching band?,reducing alcohol consumption,0
6229,Wow. And how long have you been in the brass band?,reducing alcohol consumption,0
6230,Wow. And how perhaps long have you been actually in I assume marching ahh band?,reducing alcohol consumption,0
6231,How long has it been since you were in the marching band?,reducing alcohol consumption,0
6232,How long has it been since you were in the band?,reducing alcohol consumption,0
6233,How long has it been since you have been in the band?,reducing alcohol consumption,0
6234,How long has it been since you have been in marching band?,reducing alcohol consumption,0
6235,How long has been marching band? How long have you been in it?,reducing alcohol consumption,0
6236,"your favorite parts about it confirmed that, What are they?",reducing alcohol consumption,0
6237,what are some of your favorite parts about it,reducing alcohol consumption,0
6238,what's your favorite part of the show?,reducing alcohol consumption,0
6239,What are your favourite parts of it?,reducing alcohol consumption,0
6240,What are your uhm favorite parts about it?,reducing alcohol consumption,0
6241,What are some of your favorite parts of the movie?,reducing alcohol consumption,0
6242,What are some of the most memorable parts of the movie?,reducing alcohol consumption,0
6243,What are some of the most memorable parts of this movie?,reducing alcohol consumption,0
6244,What do you think of the movie and why?,reducing alcohol consumption,0
6245,What is the most memorable part of the movie and why?,reducing alcohol consumption,0
6246,"you confirmed that, Oh, cute. Have you had him a long time?",reducing alcohol consumption,0
6247,omg cute have you had him a long time?,reducing alcohol consumption,0
6248,"oh, my God, it's cute. did you ever have him?",reducing alcohol consumption,0
6249,"Oh, cute. So cute. Have you had him for a long time?",reducing alcohol consumption,0
6250,"Oh, sweet. Have you had it for a long time?",reducing alcohol consumption,0
6251,"Oh, cute. Have actually you In my opinion had him a I would say long time?",reducing alcohol consumption,0
6252,How long has it been since you had a boy?,reducing alcohol consumption,0
6253,How long has it been since you have had a boy?,reducing alcohol consumption,0
6254,How long has it been since you have had a boy? How long?,reducing alcohol consumption,0
6255,Have you had a boy for a long while?,reducing alcohol consumption,0
6256,Why did you have him for a long time and why?,reducing alcohol consumption,0
6257,"Oh, dinky. Have you had him a long time?",reducing alcohol consumption,0
6258,"you confirmed that, Okay. So right now you're seeing that it's a part of your life. It's been a part of your life off and on for 18 years.",smoking cessation,1
6259,"Ok so right now you're seeing that it's a part of your life, it's been a part of your life off and",smoking cessation,1
6260,"all right, all right, all. you see it as part of your life right now. for 18 years, it's been part of your life.",smoking cessation,1
6261,okay. ok. ok. So right now you see that this is a part of your life. 18 years of being off and on is a part of your life,smoking cessation,1
6262,Okay. So at the moment you see it's a part of your life. It's been a part of your life for 18 years.,smoking cessation,1
6263,Okay. So right actually now uhm you're seeing that it's a part of your life. It's been a part of you know your life off and on for 18 years.,smoking cessation,1
6264,"""I'm seeing that right now you're seeing that it's a part of your life,"" he said.",smoking cessation,1
6265,Right now you're seeing that it's part of your life. It's been a part of you for 18 years.,smoking cessation,1
6266,"""I'm seeing that right now you're seeing that it's a part of your life.""",smoking cessation,1
6267,"""I'm seeing that it's a part of your life,"" he said.",smoking cessation,1
6268,I'm seeing that it's a part of your life.,smoking cessation,1
6269,it's become more important part of your life because you found yourself smoking at times that you thought I'll never smoke then.,smoking cessation,1
6270,"you've become a more important part of your life because you've been smoking a lot of times, and you've been thinking about never smoking.",smoking cessation,1
6271,It became a more important part of your life because you found yourself smoking at times that you thought I'll never smoke again,smoking cessation,1
6272,It has become a more important part of your life because sometimes you find yourself smoking something you thought I would never smoke.,smoking cessation,1
6273,It's become a perhaps more important part of umm your life because you found yourself smoking at that is times that maybe you err thought I guess I'll never I mean smoke then.,smoking cessation,1
6274,It's become a more important part of your life because you found yourself smoking at times that you thought you could never smoke.,smoking cessation,1
6275,"It's become a more important part of your life because you found yourself smoking at times that you thought you'd never smoke then, you said.",smoking cessation,1
6276,"It's become a more important part of your life because you found yourself smoking at times that you thought you could never smoke then, you said.",smoking cessation,1
6277,It became a more important part of your life because you found yourself smoking at times you thought you could never smoke then.,smoking cessation,1
6278,"It became a more important part of your life because you found yourself smoking at times you thought you could never smoke then, you said.",smoking cessation,1
6279,"your worry I confirmed that, Yeah. And your worry is that if you stop, you will end up gaining weight. So I'm hearing this kind of list of things that don't feel so positive about stopping.",smoking cessation,1
6280,yeah and your worry is that if you stop you will end up gaining weight so im hearing this kinda list of things that don't feel,smoking cessation,1
6281,"yes. you're worried if you stop, you'll gain weight. I hear a list of things that don't feel so good about stopping.",smoking cessation,1
6282,"Yeah. Yeah. Yeah. And your worry is that if you stop, youll end up gaining weight. So I hear this kind of list of things that dont feel so positive about stopping.",smoking cessation,1
6283,"Yes. And your worry is that when you stop, you will end up gaining weight. So I hear this kind of list of things that don't feel so positive when you stop.",smoking cessation,1
6284,"Yeah. And your In my opinion worry is that uhm if you stop, you will end up that is gaining weight. like So I'm hearing this kind of err list err of err things that don't like feel so most likely positive about stopping.",smoking cessation,1
6285,I'm hearing this kind of list of things that don't feel so positive about stopping.,smoking cessation,1
6286,"My worry is that if I stop, I will gain weight. So I'm hearing this kind of list of things that don't feel so positive about stopping.",smoking cessation,1
6287,"My worry is that if I stop, I will gain weight. So I'm hearing this kind of list of things I don't feel so positive about stopping.",smoking cessation,1
6288,"""I'm hearing this kind of list of things that don't feel so positive about stopping,"" he said.",smoking cessation,1
6289,"""I'm hearing this kind of list of things that don't feel so positive about stopping.",smoking cessation,1
6290,"Yeah. And your worry is that if you stop, you will end up gaining weight. So I'm hearing this kind of list of thangs that don't feel so positive about stopping.",smoking cessation,1
6291,"I else confirmed that, I'm wondering what else might be on that list.",smoking cessation,1
6292,What else is on that list?,smoking cessation,1
6293,I wonder what else is on the list.,smoking cessation,1
6294,I wonder what else might be on that list,smoking cessation,1
6295,I wonder what else might be on that list.,smoking cessation,1
6296,I'm wondering what perhaps else might be on umm that list.,smoking cessation,1
6297,I'm wondering what else is on that list.,smoking cessation,1
6298,"I'm wondering what else might be on that list, and why?",smoking cessation,1
6299,"""I'm wondering what else may be on that list.""",smoking cessation,1
6300,Is there anything else on that list that could be interesting?,smoking cessation,1
6301,Is there anything else on that list that could be added?,smoking cessation,1
6302,mm hmm ok yea so added to the other list is having to go through the withdrawal.,smoking cessation,1
6303,"mm-hmm. all right, all right, all. yes. the other list is also added to the list of withdrawals.",smoking cessation,1
6304,Mm-hmm. Thats it. That. okay. ok. ok. Yeah. Yeah. Yeah. So added to the other list is having to go through withdrawal-,smoking cessation,1
6305,"Mm-hmm. Okay. Yes. So on top of the other list, there is the obligation to go through withdrawal.",smoking cessation,1
6306,Mm-hmm. Okay. Yeah. obviously So added to the other list is the I assume having probably to go through the withdrawal-,smoking cessation,1
6307,Yeah. So added to the other list is the having to go through the withdrawal process.,smoking cessation,1
6308,So added to the other list is the having to go through the withdrawal-,smoking cessation,1
6309,So added to the other list is the having to go through the withdrawal process-,smoking cessation,1
6310,So added to the other list is the having to go through withdrawal-,smoking cessation,1
6311,Yeah. So added to the other list is the having to go through the withdrawal-in-action process-,smoking cessation,1
6312,"What else confirmed that, -the unpleasantness of that. Okay. they might be on the, not so good side about smoking- about stopping?",smoking cessation,1
6313,#NAME?,smoking cessation,1
6314,"-that's a shame. all right, all right, all. what else would be good about smoking?",smoking cessation,1
6315,#NAME?,smoking cessation,1
6316,#NAME?,smoking cessation,1
6317,#NAME?,smoking cessation,1
6318,What is the unpleasantness of that. Okay. What else might be on the not so good side about smoking?,smoking cessation,1
6319,What do you think about the unpleasantness of smoking?,smoking cessation,1
6320,What are some of the unpleasantness of smoking?,smoking cessation,1
6321,The unpleasantness of that. Okay. What else is on the not so good side about smoking- about quitting?,smoking cessation,1
6322,What are some of the unpleasantness of that?,smoking cessation,1
6323,#NAME?,smoking cessation,1
6324,"it We confirmed that, Is it okay if we go over the form you had filled out? We give this out to everybody who comes in.",smoking cessation,1
6325,is it ok if we go over the form you filled out we give this out to everyone who comes in.,smoking cessation,1
6326,do you want us to go through the form you've filled out. everyone who comes in will be given it.,smoking cessation,1
6327,Is it okay if we go over the form you filled out. We're giving this out to everybody that comes in.,smoking cessation,1
6328,Is it okay if we go through the form you filled in? We will distribute it to anyone who comes in.,smoking cessation,1
6329,Is it okay obviously if we go over the form you had I assume filled I assume out? I assume We that is give this you know out to everybody who comes in.,smoking cessation,1
6330,Is it okay to go over the form you had filled out?,smoking cessation,1
6331,Do you think it is okay to go over the form that you had filled out?,smoking cessation,1
6332,What is the best way to go over the form you have filled out?,smoking cessation,1
6333,Do we go over the form you filled out?,smoking cessation,1
6334,How do we go over the form you filled out?,smoking cessation,1
6335,ok so here it looks like you wrote that you drank alcohol a few times in the last year and you have used marijuana more often 30,smoking cessation,1
6336,"all right, let's go. Let. you've written that you drank alcohol in the last year, and you've used marijuana more often in the last year.",smoking cessation,1
6337,"Ok. Ok. Ok. Ok. So here, it looks like you wrote that you drank alcohol on a few occasions in the last year, and used cannabis more",smoking cessation,1
6338,"All right, so it looks like you wrote that you drank alcohol a few times last year and used marijuana more often in the last year, for 30 days.",smoking cessation,1
6339,"All right. So In my opinion here, it looks uhm like you wrote that you drank alcohol on a few occasions in the last naturally year, and you have used marijuana actually more often, 30 days in last year.",smoking cessation,1
6340,"""I wrote that you drank alcohol on a few occasions in the last year, and you have used marijuana more often, 30 days in last year.""",smoking cessation,1
6341,"""I wrote that you drank alcohol on a few occasions in the last year, and that you have used marijuana more often, 30 days in last year,"" he said.",smoking cessation,1
6342,"How do you know that you drank alcohol on a few occasions in the last year and used marijuana more often, 30 days in last year?",smoking cessation,1
6343,"How do you know that you drank alcohol on a few occasions in the last year and used marijuana more often, 30 days per year?",smoking cessation,1
6344,How do you know that you drank alcohol on a few occasions in the last year?,smoking cessation,1
6345,"All right. So here, it looks like you wrote that you drank poison on a few occasions in the last year, and you have used green more often, 30 days in last year.",smoking cessation,1
6346,"students and I That I you confirmed that, Okay. When students and I talk about their substance use, the first thing I always say, I don't like to tell anyone what to do. That's not my job. Instead, I like to see if there's anything they would like to do, if anything, about their use. So what can you tell me about your marijuana use?",smoking cessation,1
6347,"Ok, when students and I talk about their substance use, the first thing I always say is, I don't like to tell anyone what to do",smoking cessation,1
6348,"all right, all right, all. I always tell students what to do when we talk about substance use. it's not my job. instead, I'm interested in seeing what they'd like to do if they wanted to use them. what about marijuana use?",smoking cessation,1
6349,"okay. ok. ok. When students and I talk about their substance use, the first thing that comes to mind, I dont like to tell. Thats not my job. I like to see if there is anything they would like to do, about their use, about. So what can you say about your marijuana use?",smoking cessation,1
6350,"Okay. When students and I talk about their drug use, the first thing I always say is that I don't want to tell anyone what to do. That's not my job. Instead, I want to see if there's anything they want to do, if anything, about their use. So what can you tell me about your marijuana use?",smoking cessation,1
6351,"Okay. When students actually and actually I uhm talk about their substance use, the first thing I always say, I don't like you know to tell anyone what to do. That's not my job. possibly Instead, I like to see if there's anything they would like to do, if I believe anything, about their use. I mean So what can you tell umm me about your marijuana use?",smoking cessation,1
6352,"I don't like to tell anyone what to do, if anything, about their use.",smoking cessation,1
6353,I don't like to tell anyone what to do about their use of marijuana.,smoking cessation,1
6354,I like to see if there's anything they would like to do about their use of marijuana.,smoking cessation,1
6355,I like to see if there is anything they would like to do about their use of marijuana.,smoking cessation,1
6356,I like to see if there's anything they would like to do about their use.,smoking cessation,1
6357,"Okay. When students and I talk about their substance use, the first thang I always say, I don't like to tell anyone what to do. That's not my job. Instead, I like to see if there's anything they would like to do, if anything, about their use. So what can you tell me about your green use?",smoking cessation,1
6358,"you confirmed that, Do you vape anything else besides marijuana?",smoking cessation,1
6359,do you vape anything else besides marijuana?,smoking cessation,1
6360,do you smoke anything else than marijuana?,smoking cessation,1
6361,Do you vaporize anything besides marijuana?,smoking cessation,1
6362,Do you vape uhm anything else besides marijuana?,smoking cessation,1
6363,Do you vape anything other than marijuana? Why or why not?,smoking cessation,1
6364,Do you vape anything other than marijuana? Do you use it?,smoking cessation,1
6365,What is the best way to vape anything other than marijuana?,smoking cessation,1
6366,Is it okay to vape anything other than marijuana?,smoking cessation,1
6367,What is the best way to vape anything other than weed?,smoking cessation,1
6368,Do you vape anything else besides pot?,smoking cessation,1
6369,"We it About one in people , later on you confirmed that, We know marijuana has effects on the developing brain. For example, it can make it harder for you to concentrate, it can make it harder for you to remember things, and vaping can seriously hurt your lungs. About one in six people who begin using marijuana as a teenager, later on, become addicted. So what do you think about all this information that I've shared?",smoking cessation,1
6370,"we know marijuana has effects on the developing brain...for example it can make it harder for you to concentrate, it can make it harder for you to remember",smoking cessation,1
6371,"the effects of marijuana on the brain are known. it can make you concentrate, you can't concentrate, you can't remember things, and vaping can cause lung damage. after the first use of marijuana, about one in six people will be addicted. what do you think I've told you?",smoking cessation,1
6372,"We know that marijuana has effects on the developing brain. Vape can make it harder for you to concentrate, it can make it harder for you to remember things, and your lungs. About 1 in 6 people who begin using cannabis as a teenager, later on, become addicted. So what do you think about all this information that Ive shared?",smoking cessation,1
6373,"We know that marijuana has an effect on the developing brain. For example, it can make it harder for you to concentrate, it can make it harder for you to remember things, and vaping can seriously hurt your lungs. About one in six people who start using marijuana as a teenager become addicted later.",smoking cessation,1
6374,"We know marijuana actually has umm effects on the developing brain. For example, it ahh can make it harder for you to concentrate, it can make it actually harder for you to remember things, and vaping can seriously hurt your lungs. About one in six people who begin using actually marijuana as a teenager, later on, actually become addicted. umm So what do you think about all this that is information that I've shared?",smoking cessation,1
6375,"We know marijuana has effects on the developing brain. For example, it makes it harder for you to concentrate, it can make it harder to remember things, and vaping can seriously hurt your lungs. About one in six people who begin using marijuana as a teenager, later on, become addicted to it. What do you think about this?",smoking cessation,1
6376,"Marijuana has effects on the developing brain. For example, it makes it harder for you to concentrate, it can make it harder to remember things and vaping can seriously hurt your lungs. About one in six people who begin using marijuana as a teenager, later on, become addicted.",smoking cessation,1
6377,"Marijuana has effects on the developing brain. For example, it makes it harder for you to concentrate, it can make it harder to remember things and vaping can seriously hurt your lungs. About one in six people who begin using marijuana as a teenager become addicted.",smoking cessation,1
6378,"As a teenager, what do you think about marijuana's effects on the developing brain?",smoking cessation,1
6379,"As a teenager, what do you think of marijuana?",smoking cessation,1
6380,"We know pot has effects on the developing brain. For example, it can make it harder for you to concentrate, it can make it harder for you to remember thangs, and vaping can seriously hurt your lungs. About one in six peeps who begin using piff as a teenager, later on, become addicted. So what do you think about all this gen that I've shared?",smoking cessation,1
6381,"you confirmed that, How do you think it affects you?",smoking cessation,1
6382,what do you think it affects you?,smoking cessation,1
6383,what do you think it's gonna affect you?,smoking cessation,1
6384,How does this affect you?,smoking cessation,1
6385,How do you think this will affect you?,smoking cessation,1
6386,How do you In my opinion think it affects uhm you?,smoking cessation,1
6387,How do you think it affects you and how does it affect you?,smoking cessation,1
6388,Do you think it affects you and how do you feel about it?,smoking cessation,1
6389,Do you think it affects you and how do you feel?,smoking cessation,1
6390,How do you think it affects you and how does it affect you?,smoking cessation,1
6391,Does it affect you? How do you think it affects your life?,smoking cessation,1
6392,"you confirmed that, How could you get in trouble at school?",smoking cessation,1
6393,how could you get in trouble at school?,smoking cessation,1
6394,how can you be in trouble at school?,smoking cessation,1
6395,How can you get into trouble at school?,smoking cessation,1
6396,How could you actually get perhaps in trouble at school?,smoking cessation,1
6397,What is the best way to get in trouble in school?,smoking cessation,1
6398,What is the best way to get in trouble?,smoking cessation,1
6399,What is the most common way to get in trouble in school?,smoking cessation,1
6400,What is the best way to get in trouble in school?,smoking cessation,1
6401,What is the best way to get out of trouble at school and why?,smoking cessation,1
6402,How could you get in pickle at school?,smoking cessation,1
6403,"So when you think about these things, are there any things you would like to change about your pot use?",smoking cessation,1
6404,do you want to change anything about marijuana use?,smoking cessation,1
6405,"So when you think about these things, are there any things you'd like to change about your cannabis use?",smoking cessation,1
6406,"So when you think about these things, are there any things you want to change about your marijuana use?",smoking cessation,1
6407,"So when you In my opinion think about these I guess things, are there any things you would like to change about your err marijuana I feel use?",smoking cessation,1
6408,What are some things you would like to change about marijuana use?,smoking cessation,1
6409,What are some things you would like change about your marijuana use?,smoking cessation,1
6410,What are some of the things that you would like to change about marijuana use?,smoking cessation,1
6411,What things do you want to change about marijuana use?,smoking cessation,1
6412,What things do you want to change about marijuana?,smoking cessation,1
6413,"So when you think about these thangs, are there any thangs you would like to change about your hippy lettuce use?",smoking cessation,1
6414,what would be the benefit of that?,smoking cessation,1
6415,what would it be worth to you?,smoking cessation,1
6416,What would be the benefits?,smoking cessation,1
6417,What would be actually the I would say benefits of that?,smoking cessation,1
6418,What would be the benefits of doing this for your family?,smoking cessation,1
6419,What are some of the benefits of doing this?,smoking cessation,1
6420,What does it mean for you to live in India?,smoking cessation,1
6421,What does it mean for you to live in the USA?,smoking cessation,1
6422,What do you think about the benefits of the new technology?,smoking cessation,1
6423,"Marijuana What confirmed that, Marijuana affects how well you play. What would be the other benefits for you?",smoking cessation,1
6424,"marijuana affects how well you play, what would be the other benefits for you?",smoking cessation,1
6425,the marijuana affects how well you're playing. what else would you get out of it?,smoking cessation,1
6426,Marijuana affects how well you play. What would you get in return for the other benefits?,smoking cessation,1
6427,"Marijuana affects how well you play, what would be the other benefits for you?",smoking cessation,1
6428,Marijuana affects how perhaps well you play. What I would say would be the other benefits for you?,smoking cessation,1
6429,Marijuana affects how well you play. What is the other benefit?,smoking cessation,1
6430,How much does marijuana affect how well you play?,smoking cessation,1
6431,How do you know if marijuana is good for you?,smoking cessation,1
6432,How do you know if marijuana affects your play?,smoking cessation,1
6433,"If marijuana affects your play, what is the other benefit?",smoking cessation,1
6434,"you confirmed that, Okay. If I asked you to pick a number, 0 through 10, 0 meaning you're not very confident at all in meeting your goal, or 10 meaning you're very confident, what number would you pick?",smoking cessation,1
6435,"Okay, if I asked you to pick a number, 0 through 10, 0 means you're not very confident at all in meeting your",smoking cessation,1
6436,"all right, all right, all. what number would you choose if I asked you to choose a number, 0 to 10, 0 meaning you don't know what you're going to do?",smoking cessation,1
6437,"okay. ok. ok. If I asked you to pick a number, 0 through 10, 0 meaning you are not very confident at all in meeting your goal, or 10",smoking cessation,1
6438,"Okay. If I asked you to pick a number, 0 to 10, 0, which means that you are not very confident of reaching your goal, or 10, which means that you are very confident, which number would you choose?",smoking cessation,1
6439,"Okay. If I In my opinion asked you to uhm pick a number, 0 through 10, 0 meaning you're not very confident at all you know in meeting your goal, or 10 meaning you're very confident, like what number possibly would you pick?",smoking cessation,1
6440,"If I asked you to pick a number, 0 through 10, 0 means you're not very confident at all in meeting your goal, or 10 means you are very confident, what number would you pick?",smoking cessation,1
6441,"If you could pick one number, 0 through 10, 0 meaning you're not very confident in meeting your goal, or 10 means you're very confident, what number would you pick?",smoking cessation,1
6442,"If you could pick one number, 0 through 10, 0 meaning you're not very confident in meeting your goal, or 10 meaning you are very confident, what number would you pick?",smoking cessation,1
6443,"""What number would you pick if I asked you to pick?""",smoking cessation,1
6444,"""What number would you pick if I asked you?""",smoking cessation,1
6445,"how about this question, what might happen within a month that might make you wanna vape?",smoking cessation,1
6446,what about this question. what if you want to try it in a month?,smoking cessation,1
6447,How about this question. What might happen within a month that might make you want to vape?,smoking cessation,1
6448,How about this question? What could happen within a month that could cause you to steam?,smoking cessation,1
6449,How about this umm question? What might happen within a month that ahh might make you want to vape?,smoking cessation,1
6450,How about this question? What will happen within a month that will make you want to vape?,smoking cessation,1
6451,What is the best way to vape in a month?,smoking cessation,1
6452,What do you think about this question? How do you feel about it?,smoking cessation,1
6453,What do you think about this question? How do you know if it is true?,smoking cessation,1
6454,What would happen to you if you asked a question on Quora?,smoking cessation,1
6455,"you confirmed that, What else could you do instead of vaping when you feel that way?",smoking cessation,1
6456,what else can you do instead of vaping when you feel that way?,smoking cessation,1
6457,what else would you do if you feel like it?,smoking cessation,1
6458,What else could you do instead of steaming if you felt that way?,smoking cessation,1
6459,What else could actually you perhaps do instead of vaping I guess when you feel that way?,smoking cessation,1
6460,What can I do instead of vaping when I feel like that?,smoking cessation,1
6461,What is the best thing to do instead of vaping when you feel like it?,smoking cessation,1
6462,What is the best thing you can do instead of vaping when you feel like it?,smoking cessation,1
6463,What is the best thing you can do when you feel like vaping?,smoking cessation,1
6464,What is it that you do when you feel like vaping?,smoking cessation,1
6465,playing basketball and playing video games is a way to feel better.,smoking cessation,1
6466,it's a way to feel better playing basketball and playing video games.,smoking cessation,1
6467,Its a way to feel better about yourself. Playing basketball and playing video games.,smoking cessation,1
6468,Playing basketball and playing video games is a way to feel better.,smoking cessation,1
6469,Playing basketball and actually playing actually video umm games are a way to feel better.,smoking cessation,1
6470,Playing basketball and playing video games are the best way to feel better.,smoking cessation,1
6471,What is the best way to feel better while playing video games?,smoking cessation,1
6472,What is the best way to play video games?,smoking cessation,1
6473,What is the best way to feel better while watching video games?,smoking cessation,1
6474,What is the best way to feel better while playing basketball?,smoking cessation,1
6475,"I I your confirmed that, Well, I'm glad to hear that you have a goal of quitting for a month and you are confident of reaching that goal. If you're willing to come back in a month or so, I would be curious to hear how your plan works out.",smoking cessation,1
6476,well i'm glad to hear that you have a goal of quitting for a month and you're confident of reaching that goal.,smoking cessation,1
6477,"I'm glad you've decided to quit for a month, and I'm sure you'll be able to achieve your goal. I'd be curious to hear how you're planning to go about it in a month.",smoking cessation,1
6478,"Well, good to hear that you have a goal of quitting for a month and you are confident of reaching that goal. If you're willing to come back in a month or so, I'd be curious to hear how your plan works out.",smoking cessation,1
6479,"Well, I'm glad to hear that you have the goal of stopping for a month, and that you are confident of achieving that goal. If you're ready to come back in about a month, I'd be curious to hear how your plan works.",smoking cessation,1
6480,"Well, I'm glad obviously to hear that you have a goal of like quitting for a month and you that is are confident you know of reaching that goal. If you're willing to come back err in a month I feel or so, I I mean would be In my opinion curious to hear how your plan works out.",smoking cessation,1
6481,What is your plan for quitting for a month?,smoking cessation,1
6482,What is your plan for quitting for a month?,smoking cessation,1
6483,What is your plan for quitting for a month or so?,smoking cessation,1
6484,How do you know if you can quit for a month?,smoking cessation,1
6485,What is your goal for quitting for a month?,smoking cessation,1
6486,"I confirmed that, Well, Good luck with basketball practice. if you want anything or need to talk about something before our next appointment, i'm here Monday through Thursday, and it's always good to see you.",smoking cessation,1
6487,well good luck with basketball practice if you want anything or need to talk about something before our next appointment i'm here Monday through Thursday and it,smoking cessation,1
6488,"all right, let's go to basketball practice. I'll see you Monday through Thursday, and I'll see you when you need something or want to talk.",smoking cessation,1
6489,"Well, Goodluck with basketball practice. If you want anything or need to talk about something before our next appointment, I'm here Monday through Thursday",smoking cessation,1
6490,"Well, good luck with basketball training. If you want something or need to talk about something before our next appointment, I'm here from Monday to Thursday and it's always good to see you.",smoking cessation,1
6491,"Well, Good luck perhaps with basketball practice. If uhm you want anything or need to talk about something before our next appointment, I'm naturally here Monday through Thursday, and it's perhaps always perhaps good perhaps to I feel see you.",smoking cessation,1
