Sr. No,utterance_text,mi_quality,topic
3057,How do you know if you're a student at Minnesota State University?,0,compliance with rules
3058,How can I be a student at Minnesota State University?,0,compliance with rules
3059,"your sanction disciplinary action any further confirmed that, Okay. Well, your sanction is you'll be placed on university disciplinary probation and you'll have to attend an alcohol education seminar that'll cost you $150. Also, disciplinary action is progressive and cumulative, meaning that any further violations will result in suspension for one semester or longer.",0,compliance with rules
3060,ok well your sanction is you'll be placed on university disciplinary probation and you'll have to attend an alcohol education seminar cost you $150 and,0,compliance with rules
3061,"all right, all right, all. you'll be on probation for a semester and you'll have to attend a seminar on alcohol. in addition, disciplinary action is cumulative and cumulative, meaning that any further violations will lead to a suspension for a semester or longer.",0,compliance with rules
3062,"okay. ok. ok. Well, your sanction is you will be placed on university disciplinary probation and have to attend an alcohol education seminar that. Also, disciplinary action is progressive and cumulative, meaning that any further violations result in a",0,compliance with rules
3063,"Okay. Well, your sanction is that you will be sentenced to a university suspended sentence and you will have to attend an alcohol education seminar that will cost you $150. Moreover, disciplinary action is progressive and cumulative, meaning that further violations are associated with a suspension of one semester or more.",0,compliance with rules
3064,"Okay. Well, your uhm sanction is you'll be placed on university disciplinary probation and you'll have to attend like an alcohol education seminar that'll cost I guess you $150. actually Also, disciplinary action is progressive and cumulative, meaning that any further violations will result in suspension for one semester or longer.",0,compliance with rules
3065,"The sanction is that you'll be placed on university disciplinary probation and you'll have to attend an alcohol education seminar that cost you $150. Also, disciplinary action is progressive and cumulative, meaning that any further violations will result in suspension for a semester or longer.",0,compliance with rules
3066,"So your sanction is that you'll have to attend an alcohol education seminar that costs $150. Also, disciplinary action is progressive and cumulative, meaning that any further violations will result in suspension for one semester or longer.",0,compliance with rules
3067,The sanction is that you'll be placed on university disciplinary probation and you'll have to attend an alcohol education seminar that cost $150.,0,compliance with rules
3068,"So your sanction is that you'll have to attend an alcohol education seminar that cost you $150. Also, disciplinary action is progressive and cumulative, meaning that any further violations will result in suspension for one semester or longer, according to the NCAA.",0,compliance with rules
3069,So your sanction is that you'll have to attend an alcohol education seminar that cost you $150.,0,compliance with rules
3070,"Okay. Well, your sanction is you'll be placed on uni disciplinary probation and you'll have to attend an poison education seminar that'll cost you $150. Also, disciplinary action is progressive and cumulative, meaning that any further violations will result in suspension for one semester or longer.",0,compliance with rules
3071,"I I I confirmed that, Hey, hi, Andrea. Thanks for coming in today. So I don't know how much you've been told about why you're here, but basically, it's my job just to meet with all the students. I usually meet with you once or twice a semester. And I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of things like that.",0,reducing alcohol consumption
3072,"Hey, hi Andrea, thanks for coming in today, so I don't know how much you've been told about why you're here,",0,reducing alcohol consumption
3073,"hello, Andrea. Hi, Andrea. thank you for coming. I'm just here to meet all the students, so I'm not really sure what you're telling me. I'm usually in meetings with you twice a semester. I'll talk about your life and your goals and some of the things you might want to do and just the things you might want to do.",0,reducing alcohol consumption
3074,"Hey, hi Andrea. Thanks for coming out today. So I dont know how much youve been told about why youre here but basically its my job just to meet all the. I usually meet with you once or twice a semester. And I will be talking to you kind of about your life and your goals and some behaviors that you might engage in and",0,reducing alcohol consumption
3075,"Hello, Andrea. Thank you for coming in today. So I don't know how much you've been told why you're here, but basically it's my job to just meet with all the students. I usually meet with you once or twice a semester, and I'm going to talk to you about your life and your goals and some behaviors that you might get involved with, and things like that.",0,reducing alcohol consumption
3076,"Hey, hi, Andrea. uhm Thanks for coming in today. So I probably don't know how much you've been told you know about why you're here, but basically, it's my job just I mean to meet with all the students. I I would say usually meet with you probably once probably or I would say twice umm a semester. And I'm going to be talking to actually you kind umm of like about I guess your life and your goals and some umm behaviors that I would say you might engage in and just the sorts of things most likely like that.",0,reducing alcohol consumption
3077,"Hi Andrea. Thanks for coming in. So I don't know how much you've been told about why you're here, but basically it's my job just to meet with all the students. I usually meet with you once or twice a semester. And I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of things like that.",0,reducing alcohol consumption
3078,"""Hey, hi, Andrea. Thanks for coming in today. So I don't know how much you've been told about why you're here, but basically, it's my job just to meet with all the students. I usually meet with you once or twice a semester.""",0,reducing alcohol consumption
3079,"I don't know how much you've been told about why you're here, but basically, it's my job to meet with all the students. I usually meet with you once or twice a semester, and I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of things like that.",0,reducing alcohol consumption
3080,"I don't know how much you've been told about why you're here, but basically, it's my job to meet with all the students. I usually meet with you once or twice a semester.",0,reducing alcohol consumption
3081,"Hi, Andrea. Thanks for coming in today.",0,reducing alcohol consumption
3082,"Hey, hi, Andrea. Thanks for coming in today. So I don't know how much you've been told about why you're here, but basically, it's my job just to meet with all the students. I usually meet with you once or twice a semester. And I'm going to be talking to you kind of about your life and your goals and some behaviors that you might engage in and just the sorts of thangs like that.",0,reducing alcohol consumption
3083,"Wow, that's a long time, what other instruments?",0,reducing alcohol consumption
3084,"wow, that's really cool. it's been a long time. what other instruments are you using?",0,reducing alcohol consumption
3085,Wow. Wow. Wow. Wow. Thats long. What other instruments?,0,reducing alcohol consumption
3086,Wow. That's a perhaps long time. What other like instruments?,0,reducing alcohol consumption
3087,How long has it been since you have played any other instrument?,0,reducing alcohol consumption
3088,How long has it been since you have played a piano?,0,reducing alcohol consumption
3089,How long has it been since you played any other instrument?,0,reducing alcohol consumption
3090,How long has it been since you have played any other instrument?,0,reducing alcohol consumption
3091,How long has it been since you have played the piano?,0,reducing alcohol consumption
3092,"That you confirmed that, That's awesome. And you play tenor sax?",0,reducing alcohol consumption
3093,that's awesome and you play tenor sax?,0,reducing alcohol consumption
3094,that's great. It's great. It. you're playing tenors?,0,reducing alcohol consumption
3095,Thats awesome. And you're playing tenor sax?,0,reducing alcohol consumption
3096,"This is fantastic, and you play tenor saxophone?",0,reducing alcohol consumption
3097,That's awesome. And actually you uhm play tenor sax?,0,reducing alcohol consumption
3098,What is it like to play tenor sax?,0,reducing alcohol consumption
3099,You play tenor sax. How do you play it?,0,reducing alcohol consumption
3100,What are some of the best tenor saxes you have played?,0,reducing alcohol consumption
3101,What are some of the best tenor saxes you ever played?,0,reducing alcohol consumption
3102,Is it okay to play tenor sax while you're in college?,0,reducing alcohol consumption
3103,"you confirmed that, Wow. And how long have you been in marching band?",0,reducing alcohol consumption
3104,wow how long have you been in marching band?,0,reducing alcohol consumption
3105,"wow, that's really cool. how long have you been in the marching band?",0,reducing alcohol consumption
3106,Wow. Wow. Wow. Wow. And how long have you been in marching band?,0,reducing alcohol consumption
3107,Wow. And how long have you been in the brass band?,0,reducing alcohol consumption
3108,Wow. And how perhaps long have you been actually in I assume marching ahh band?,0,reducing alcohol consumption
3109,How long has it been since you were in the marching band?,0,reducing alcohol consumption
3110,How long has it been since you were in the band?,0,reducing alcohol consumption
3111,How long has it been since you have been in the band?,0,reducing alcohol consumption
3112,How long has it been since you have been in marching band?,0,reducing alcohol consumption
3113,How long has been marching band? How long have you been in it?,0,reducing alcohol consumption
3114,"your favorite parts about it confirmed that, What are they?",0,reducing alcohol consumption
3115,what are some of your favorite parts about it,0,reducing alcohol consumption
3116,what's your favorite part of the show?,0,reducing alcohol consumption
3117,What are your favourite parts of it?,0,reducing alcohol consumption
3118,What are your uhm favorite parts about it?,0,reducing alcohol consumption
3119,What are some of your favorite parts of the movie?,0,reducing alcohol consumption
3120,What are some of the most memorable parts of the movie?,0,reducing alcohol consumption
3121,What are some of the most memorable parts of this movie?,0,reducing alcohol consumption
3122,What do you think of the movie and why?,0,reducing alcohol consumption
3123,What is the most memorable part of the movie and why?,0,reducing alcohol consumption
3124,"you confirmed that, Oh, cute. Have you had him a long time?",0,reducing alcohol consumption
3125,omg cute have you had him a long time?,0,reducing alcohol consumption
3126,"oh, my God, it's cute. did you ever have him?",0,reducing alcohol consumption
3127,"Oh, cute. So cute. Have you had him for a long time?",0,reducing alcohol consumption
3128,"Oh, sweet. Have you had it for a long time?",0,reducing alcohol consumption
3129,"Oh, cute. Have actually you In my opinion had him a I would say long time?",0,reducing alcohol consumption
3130,How long has it been since you had a boy?,0,reducing alcohol consumption
3131,How long has it been since you have had a boy?,0,reducing alcohol consumption
3132,How long has it been since you have had a boy? How long?,0,reducing alcohol consumption
3133,Have you had a boy for a long while?,0,reducing alcohol consumption
3134,Why did you have him for a long time and why?,0,reducing alcohol consumption
3135,"Oh, dinky. Have you had him a long time?",0,reducing alcohol consumption
3136,"your plans for after confirmed that, Oh gosh. Yeah. Okay. Very cool. And what are they high school?",0,reducing alcohol consumption
3137,oh gosh yea ok very cool and what do you plan for after high school?,0,reducing alcohol consumption
3138,"oh, my God. yes. all right, all right, all. it's really nice. It's really. what do you plan to do after high school?",0,reducing alcohol consumption
3139,Oh gosh. Thats it. That. Yeah. Yeah. Yeah. okay. ok. ok. Very cool. Very cool. And what are your plans after high school?,0,reducing alcohol consumption
3140,Oh gosh. Yes. Okay. Very cool. And what are your plans for the time after high school?,0,reducing alcohol consumption
3141,Oh gosh. Yeah. In my opinion Okay. Very cool. actually And I would say what are your plans for after high school?,0,reducing alcohol consumption
3142,Oh gosh. Yeah. Okay. Very cool. What are your plans after high school?,0,reducing alcohol consumption
3143,Oh gosh. Okay. Very cool. What are your plans after high school?,0,reducing alcohol consumption
3144,Are you planning for high school after high school?,0,reducing alcohol consumption
3145,Do you have any plans after high school for your future?,0,reducing alcohol consumption
3146,Do you have any plans after high school for your future career?,0,reducing alcohol consumption
3147,Oh gosh. Yeah. Okay. Very gnarly. And what are your plans for after high school?,0,reducing alcohol consumption
3148,"the of things you confirmed that, Okay. Good. Very good. All right. Well, what are the kinds of things do you do for fun on weekends?",0,reducing alcohol consumption
3149,ok.good.very good.all right.well what kind of things do you do for fun on weekends?,0,reducing alcohol consumption
3150,"all right, all right, all. all right, all right, all. well, I'm glad you're here. all right, let's go. Let. what do you do for fun on the weekend?",0,reducing alcohol consumption
3151,"okay. ok. ok. Good. Good. Good. Good. Very good. Well done. Ok. Ok. Ok. Ok. Well, what are the types of things you do for fun on weekends?",0,reducing alcohol consumption
3152,Okay. Good. Very good. Okay. What are those things you do for fun at the weekend?,0,reducing alcohol consumption
3153,"Okay. Good. Very In my opinion good. All right. umm Well, what are the kinds of things do like you like do for fun on weekends?",0,reducing alcohol consumption
3154,What are the kinds of things you do on weekends?,0,reducing alcohol consumption
3155,"All right. Well, what are the kinds of things you do on weekends?",0,reducing alcohol consumption
3156,"Well, what are the kinds of things you do on weekends?",0,reducing alcohol consumption
3157,"Well, what are some fun things to do on weekends?",0,reducing alcohol consumption
3158,"Well, what are the kinds of things that you do on weekends for fun?",0,reducing alcohol consumption
3159,"Okay. Good. Very gradeley. All right. Well, what are the kinds of thangs do you do for fun on weekends?",0,reducing alcohol consumption
3160,mmmmm...when you're hanging out is there ever alcohol?,0,reducing alcohol consumption
3161,"mm-hmm. when you're out, you're supposed to have a drink?",0,reducing alcohol consumption
3162,Mm-hmm. Thats it. That. Is there ever alcohol when you hang out?,0,reducing alcohol consumption
3163,Mm-hmm. Is there any alcohol at all when you're hanging out?,0,reducing alcohol consumption
3164,"Mm-hmm. When you're actually hanging uhm out, is there ever alcohol?",0,reducing alcohol consumption
3165,Is there ever alcohol when you're hanging out?,0,reducing alcohol consumption
3166,"When you're hanging out with friends, is there any alcohol?",0,reducing alcohol consumption
3167,How can I know if I'm drinking alcohol when I'm hanging out?,0,reducing alcohol consumption
3168,How can I know if I'm drinking too much or too much?,0,reducing alcohol consumption
3169,Does anyone drink when they're hanging out with friends?,0,reducing alcohol consumption
3170,"Mm-hmm. When you're hanging out, is there ever poison?",0,reducing alcohol consumption
3171,"you confirmed that, Uh-huh So how often do you think you drink alcohol?",0,reducing alcohol consumption
3172,uh huh so how often do you think you drink alcohol?,0,reducing alcohol consumption
3173,how much do you drink alcohol?,0,reducing alcohol consumption
3174,"Er-huh, how often do you think you drink alcohol?",0,reducing alcohol consumption
3175,Uh-huh So how In my opinion often do you umm think you drink alcohol?,0,reducing alcohol consumption
3176,How often do you drink alcohol and how often does one drink it?,0,reducing alcohol consumption
3177,How often do you drink alcohol and how often does it hurt?,0,reducing alcohol consumption
3178,Is there any way to know if you drink alcohol or not?,0,reducing alcohol consumption
3179,Is there any way to know how often we drink alcohol?,0,reducing alcohol consumption
3180,How often does it take to drink a glass of wine?,0,reducing alcohol consumption
3181,Uh-huh So how often do you think you drink poison?,0,reducing alcohol consumption
3182,"you confirmed that, Okay. And how much are you drinking on the days that you're-- on the days that you drink?",0,reducing alcohol consumption
3183,ok and how much are you drinking on the days that you're drinking?,0,reducing alcohol consumption
3184,"all right, all right, all. how much do you drink on the day you drink?",0,reducing alcohol consumption
3185,okay. ok. ok. And how much are you drinking on the days that you-- on the days that you drink?,0,reducing alcohol consumption
3186,Okay. And how much do you drink on the days you drink?,0,reducing alcohol consumption
3187,Okay. And how perhaps much are you drinking actually on I would say the days that you're-- on the days that you drink?,0,reducing alcohol consumption
3188,How much are you drinking on the days you're drinking?,0,reducing alcohol consumption
3189,How much do you drink on the days that you're drinking?,0,reducing alcohol consumption
3190,Do you drink on the days that you're drunk?,0,reducing alcohol consumption
3191,Do you drink on the days you're drinking?,0,reducing alcohol consumption
3192,How much is it that you drink every day?,0,reducing alcohol consumption
3193,"you've - you've you confirmed that, Got it. So you've-you've had some pretty heavy drinking. What-what do you think is the most you've ever had?",0,reducing alcohol consumption
3194,got it so you've had some pretty heavy drinking what do you think is the most you've ever had?,0,reducing alcohol consumption
3195,I have it. you drank a lot of alcohol. what's the most you've ever had?,0,reducing alcohol consumption
3196,Got it. Got it. Got it. So you-you had some pretty heavy drinking. What-what do you think is the most you ever had?,0,reducing alcohol consumption
3197,So you - you drank quite a lot. What - what do you think - is the best thing you've ever had?,0,reducing alcohol consumption
3198,Got it. So probably you've-you've had some pretty heavy drinking. What-what I would say do you think is the most you've ever had?,0,reducing alcohol consumption
3199,So you've had some pretty heavy drinking. What is the most you've ever had?,0,reducing alcohol consumption
3200,So you've had a lot of heavy drinking. What is the most you've ever had?,0,reducing alcohol consumption
3201,How long has it been since you've had some heavy drinking?,0,reducing alcohol consumption
3202,How long has it been since you've had some heavy drinking and what do you think of it?,0,reducing alcohol consumption
3203,How long has it been since you've had a drink?,0,reducing alcohol consumption
3204,"your friends confirmed that, Okay. So, and then they drink too?",0,reducing alcohol consumption
3205,ok so and then your friends drink too?,0,reducing alcohol consumption
3206,"all right, all right, all. so you're drinking with your friends?",0,reducing alcohol consumption
3207,"okay. ok. ok. So, and then your friends drink too?",0,reducing alcohol consumption
3208,"Okay. So, and then your friends are drinking too?",0,reducing alcohol consumption
3209,"Okay. So, and perhaps then your friends drink umm too?",0,reducing alcohol consumption
3210,"So, and then your friends drink too, right?",0,reducing alcohol consumption
3211,"OK. So, and then your friends drink too, right?",0,reducing alcohol consumption
3212,"So you drink too, and then your friends drink too?",0,reducing alcohol consumption
3213,What is the difference between a friend and a drinker?,0,reducing alcohol consumption
3214,"So you drink too, and then your friends drink too.",0,reducing alcohol consumption
3215,"Okay. So, and then your charvers drink too?",0,reducing alcohol consumption
3216,"they confirmed that, Okay. And how much do they typically drink?",0,reducing alcohol consumption
3217,ok and how much do they usually drink?,0,reducing alcohol consumption
3218,OkayAnd how much do they typically drink?,0,reducing alcohol consumption
3219,"all right, all right, all. how much do they drink?",0,reducing alcohol consumption
3220,okay. ok. ok. And how often do they typically drink?,0,reducing alcohol consumption
3221,Okay. And how much do they usually drink?,0,reducing alcohol consumption
3222,Okay. And how perhaps much do they typically I guess drink?,0,reducing alcohol consumption
3223,How much do they typically drink in a week?,0,reducing alcohol consumption
3224,How much do they typically drink in a week? How much?,0,reducing alcohol consumption
3225,How much do people drink per day and how much?,0,reducing alcohol consumption
3226,How much do people drink per day and how often?,0,reducing alcohol consumption
3227,And how much do they typically drink in a day?,0,reducing alcohol consumption
3228,it has a lot of alcohol in it.,0,reducing alcohol consumption
3229,it's got a lot of alcohol.,0,reducing alcohol consumption
3230,Its got alcohol in it,0,reducing alcohol consumption
3231,It contains a lot of alcohol.,0,reducing alcohol consumption
3232,It has a actually lot perhaps of alcohol in it.,0,reducing alcohol consumption
3233,"""It has a lot of alcohol in it,"" he said.",0,reducing alcohol consumption
3234,"""It has a lot of alcohol in it,"" he said. ``",0,reducing alcohol consumption
3235,"""It has a lot of alcohol in it,"" he said.",0,reducing alcohol consumption
3236,It has alcohol in it and has a lot of alcohol.,0,reducing alcohol consumption
3237,It has alcohol in it and has a lot of it in it.,0,reducing alcohol consumption
3238,It has a lot of poison in it.,0,reducing alcohol consumption
3239,"you're you're your level of drinking confirmed that, Okay. Um, so gosh, you're-you're actually really drinking quite a lot. Um, you know, your level of drinking puts you in what we call a high-risk group.",0,reducing alcohol consumption
3240,"ok, um, so gosh, you're actually really drinking a lot, um, you know, your drinking puts you in what",0,reducing alcohol consumption
3241,"all right, all right, all. oh, my God, you drink a lot. you're in a high-risk group because of your drinking.",0,reducing alcohol consumption
3242,"okay. ok. ok. Um, so gosh, you- you actually drink quite a lot. Um, your level of drinking puts you in what we call a high-risk group.",0,reducing alcohol consumption
3243,"Okay. Um, so gosh, you actually drink quite a lot. Um, you know, your alcohol level puts you in what we call a high-risk group.",0,reducing alcohol consumption
3244,"Okay. Um, so In my opinion gosh, you're-you're actually I would say really drinking quite a lot. Um, you know, your level of drinking puts you know you in what we call a high-risk group.",0,reducing alcohol consumption
3245,"Yeah, so gosh, you're actually drinking quite a lot. Um, you know, your level of drinking puts you in what we call the high-risk group.",0,reducing alcohol consumption
3246,"Yeah, so gosh, you're actually drinking quite a lot. Um, you know, your level of drinking puts you into what we call a high-risk group.",0,reducing alcohol consumption
3247,"So gosh, you're actually drinking quite a lot. Um, you know, your level of drinking puts you in what we call the high-risk group.",0,reducing alcohol consumption
3248,"So gosh, you're actually drinking quite a lot. Um, you know, your level of drinking puts you into what we call a high-risk group.",0,reducing alcohol consumption
3249,"Um, so gosh, you're drinking quite a lot. Um, you know, your level of drinking puts you in a high-risk group.",0,reducing alcohol consumption
3250,"Okay. Um, so gosh, you're-you're actually really drinking quite a lot. Um, you know, your level of drinking puts you in what we call a high-punt group.",0,reducing alcohol consumption
3251,"we things like , um , you confirmed that, Yeah. Um, so we call it high-risk because it means that there's actually quite a bit of chances that you're gonna have some bad consequences from drinking like that. So, you know, things like, um, having car accidents, or other accidents, or getting in fights, or, you know, sexual assault, or health problems, or developing alcoholism. Have you thought about those things?",0,reducing alcohol consumption
3252,"yeah, um, so we call it high risk because it means that there's actually quite a bit of chances that you're gonna have",0,reducing alcohol consumption
3253,"yes. well, we're calling it a high-risk because it means that there's a lot of risk that you might have a bad consequence to drinking. you know, it's like, uh, car accidents, or other accidents, or, you know, sexual assault, or, you know, health problems, or, you know, alcoholism. do you think about what you've done?",0,reducing alcohol consumption
3254,"Yeah. Yeah. Yeah. Um, so we call it high risk because it means that there's actually quite a bit of chances that you. So, you know, things like, um, having car accidents, or other accidents, or getting in fights, or,. Have you thought about those things?",0,reducing alcohol consumption
3255,"Yes. Um, that's what we call high risk, because it means that it's actually quite likely that you're going to have some bad consequences if you drink like that. So, you know, things like, erm, have car accidents or other accidents, or get involved in fights, or, you know, have sexual assault or health problems or develop alcoholism. Have you thought about those things?",0,reducing alcohol consumption
3256,"Yeah. Um, so obviously we call it high-risk because it means that like there's that is actually quite I assume a that is bit of err chances I guess that you're I mean gonna have some bad consequences from drinking I feel like that. So, naturally you I mean know, things I mean like, um, having In my opinion car accidents, or other accidents, or getting in fights, or, you know, sexual assault, or health problems, or developing alcoholism. Have you thought about I feel those that is things?",0,reducing alcohol consumption
3257,"Yeah, so we call it high-risk because it means there's actually quite a bit of chances that you're gonna have some bad consequences from drinking like that.",0,reducing alcohol consumption
3258,Do you think it is high-risk to drink like that? And do you think that there's actually quite a bit of chance that you're gonna have some bad consequences from drinking like that.,0,reducing alcohol consumption
3259,What is the high risk of drinking like that?,0,reducing alcohol consumption
3260,Do you think it's high-risk to drink?,0,reducing alcohol consumption
3261,Do you think it's high-risk to drink like this?,0,reducing alcohol consumption
3262,"Yeah. Um, so we call it high-punt because it means that there's actually quite a bit of chances that you're gonna have some diabolical consequences from drinking like that. So, you know, thangs like, um, having jam jar prangs, or other prangs, or getting in ding-dongs, or, you know, sexual assault, or health problems, or developing alcoholism. Have you thought about those thangs?",0,reducing alcohol consumption
3263,"it you I confirmed that, Okay. So it's, um, so it's good, because you're not drinking and driving, but you're still really drinking a lot. Um, and yeah. Okay. So, let's-let's talk a little bit about that, how you might be able to make some changes. Because I think you really need to- need to stop drinking like this.",0,reducing alcohol consumption
3264,"ok so it's, um, so it's good because you're not drinking and driving, but you're still really drinking",0,reducing alcohol consumption
3265,"all right, all right, all. you drink a lot, but you drink a lot. well, yes, and yes. all right, all right, all. so, let's talk about how you might be able to change it. you really have to stop drinking like that.",0,reducing alcohol consumption
3266,"okay. ok. ok. So it is, um, so good, because you don't drink and drive but you do drink a lot. Um, and yeah. okay. ok. ok. So, lets-let's talk a bit about that, how you might make some changes. Because I think you really need to- need to stop drinking like this.",0,reducing alcohol consumption
3267,"Okay. That's how it is, er, that's how it is, because you don't drink and you don't drive, but you still drink a lot. Um, and yes. Okay. So let's talk a little bit about how you might be able to make some changes, because I think you really need to stop drinking like that.",0,reducing alcohol consumption
3268,"Okay. So it's, actually um, perhaps so it's good, because probably you're not drinking and driving, but you're maybe still I feel really drinking a lot. Um, and I mean yeah. Okay. So, let's-let's talk a little naturally bit about that, how you I mean might be err able to In my opinion make some changes. Because I think you really need to- need to stop drinking like this.",0,reducing alcohol consumption
3269,"I think you really need to stop drinking and driving, but you're still really drinking a lot. Um, and yeah. Okay. So, let's-let's talk a little bit about that, how you can make some changes.",0,reducing alcohol consumption
3270,"So it's good that you're not drinking and driving, but you're still really drinking a lot. Okay. So, let's-let's talk a little bit about that, how you might be able to make some changes.",0,reducing alcohol consumption
3271,"So it's good that you're not drinking and driving, but you're still really drinking a lot. Um, and yeah. Okay. So, let's talk a little bit about that, how you can make some changes.",0,reducing alcohol consumption
3272,I think you need to stop drinking and driving.,0,reducing alcohol consumption
3273,I think you need to stop drinking like this. Okay.,0,reducing alcohol consumption
3274,"Okay. So it's, um, so it's gradeley, because you're not drinking and driving, but you're still really drinking a lot. Um, and yeah. Okay. So, let's-let's talk a ickle bit about that, how you might be able to make some changes. Because I think you really need to- need to stop drinking like this.",0,reducing alcohol consumption
3275,"you confirmed that, So, um, do you think you could quit drinking or?",0,reducing alcohol consumption
3276,"so um, do you think you could quit drinking or?",0,reducing alcohol consumption
3277,"so, um, you're thinking about stopping drinking?",0,reducing alcohol consumption
3278,"So, um, could you quit drinking or?",0,reducing alcohol consumption
3279,"Er, do you think you could stop drinking, right?",0,reducing alcohol consumption
3280,"So, um, do actually you actually think actually you I guess could quit drinking or?",0,reducing alcohol consumption
3281,What is the best way to quit drinking and why?,0,reducing alcohol consumption
3282,What is the best way to quit drinking and quit smoking?,0,reducing alcohol consumption
3283,What is the best way to quit drinking and why?,0,reducing alcohol consumption
3284,What is the best way to quit drinking and smoking?,0,reducing alcohol consumption
3285,What should I do if I want to quit drinking and why?,0,reducing alcohol consumption
3286,ok so does that mean you're gonna stop drinking?,0,reducing alcohol consumption
3287,"OkaySo, does that mean you're gonna stop drinking?",0,reducing alcohol consumption
3288,"all right, all right, all. so you're not gonna drink anymore?",0,reducing alcohol consumption
3289,"okay. ok. ok. So, does that mean you will stop drinking?",0,reducing alcohol consumption
3290,Okay. So does that mean you're going to stop drinking?,0,reducing alcohol consumption
3291,"Okay. So, does perhaps that mean you're gonna umm stop drinking?",0,reducing alcohol consumption
3292,"So, does that mean you're going to quit drinking?",0,reducing alcohol consumption
3293,How do you know if you should stop drinking?,0,reducing alcohol consumption
3294,How do you know if you're going to stop drinking?,0,reducing alcohol consumption
3295,How do you know if you should stop drinking and stop smoking?,0,reducing alcohol consumption
3296,How do you know if you're going to stop smoking?,0,reducing alcohol consumption
3297,"you confirmed that, Okay. Um, you don't sound very much like you think that's gonna work.",0,reducing alcohol consumption
3298,ok u dont sound like u think thats gonna work.,0,reducing alcohol consumption
3299,"OkayUm, you don't sound very much like you think that's gonna work.",0,reducing alcohol consumption
3300,"all right, all right, all. you're not very much like you think it's going to work.",0,reducing alcohol consumption
3301,"okay. ok. ok. Um, you're not that loud to sound like you think that works.",0,reducing alcohol consumption
3302,"Okay. Er, you don't sound like you think it's going to work.",0,reducing alcohol consumption
3303,"Okay. Um, you In my opinion don't sound very uhm much like you think that's gonna work.",0,reducing alcohol consumption
3304,I don't sound very much like you think that's gonna work.,0,reducing alcohol consumption
3305,"""I don't sound very much like you think that's gonna work,"" he said.",0,reducing alcohol consumption
3306,I don't sound like you think that's gonna work.,0,reducing alcohol consumption
3307,"""I don't sound like you think that's gonna work.""",0,reducing alcohol consumption
3308,"No, you don't sound very much like you think that will work.",0,reducing alcohol consumption
3309,"you confirmed that, Okay. So, how are you gonna quit drinking without your friends thinking you look stupid?",0,reducing alcohol consumption
3310,ok so how are you gonna quit drinking without your friends thinking you look stupid?,0,reducing alcohol consumption
3311,"all right, all right, all. how do you get rid of your friends without thinking you're stupid?",0,reducing alcohol consumption
3312,"okay. ok. ok. So, how are you gonna quit drinking without your friends thinking you look stupid?",0,reducing alcohol consumption
3313,Okay. So how do you want to stop drinking without your friends thinking you look stupid?,0,reducing alcohol consumption
3314,"Okay. So, how actually are In my opinion you gonna quit ahh drinking without your friends thinking you look stupid?",0,reducing alcohol consumption
3315,How can I quit drinking without my friends thinking I look stupid?,0,reducing alcohol consumption
3316,How can I quit drinking without my friends thinking I'm stupid?,0,reducing alcohol consumption
3317,Can I quit drinking without my friends thinking I look stupid?,0,reducing alcohol consumption
3318,Can I quit drinking without my friends thinking I'm stupid?,0,reducing alcohol consumption
3319,"If you can't quit drinking, how can you quit being stupid?",0,reducing alcohol consumption
3320,"Okay. So, how are you gonna quit drinking without your charvers thinking you look cakey?",0,reducing alcohol consumption
3321,transfer Formal to Casual: It sounds like you might be better off without them though. They’re-,0,reducing alcohol consumption
3322,but you might be better off without them. they're-they're-they're-they,0,reducing alcohol consumption
3323,They sound like you might be better off without them though. They’re-,0,reducing alcohol consumption
3324,It sounds as though you might be better off without them.,0,reducing alcohol consumption
3325,It sounds like actually you actually might uhm be better off without them though. They’re-,0,reducing alcohol consumption
3326,It sounds like you might be better off without them.,0,reducing alcohol consumption
3327,Does it sound like you might be better off without them?,0,reducing alcohol consumption
3328,What are the advantages of having them in your life?,0,reducing alcohol consumption
3329,What are the advantages of having them in your life and why?,0,reducing alcohol consumption
3330,"What are the advantages of having them in your life, and why?",0,reducing alcohol consumption
3331,maybe not really good friends.,0,reducing alcohol consumption
3332,#NAME?,0,reducing alcohol consumption
3333,#NAME?,0,reducing alcohol consumption
3334,#NAME?,0,reducing alcohol consumption
3335,#NAME?,0,reducing alcohol consumption
3336,#NAME?,0,reducing alcohol consumption
3337,What is the difference between a good friend and a bad friend?,0,reducing alcohol consumption
3338,What is it like to be a good friend?,0,reducing alcohol consumption
3339,#NAME?,0,reducing alcohol consumption
3340,#NAME?,0,reducing alcohol consumption
3341,"I confirmed that, And, um, i think you should probably stop as soon as possible, like this weekend.",0,reducing alcohol consumption
3342,and um i think you should probably stop as soon as possible like this weekend.,0,reducing alcohol consumption
3343,"as soon as possible, like this weekend.",0,reducing alcohol consumption
3344,"And, er, I think you should probably stop as soon as possible, as you did this weekend.",0,reducing alcohol consumption
3345,"And, um, I In my opinion think you should I feel probably I would say stop as soon as possible, like this weekend.",0,reducing alcohol consumption
3346,I think you should probably stop as soon as possible.,0,reducing alcohol consumption
3347,"As soon as possible, I think you should probably stop.",0,reducing alcohol consumption
